author,date,text
sgarg1981,2021-05-06 14:29:07,@mayursejpal @ibhagwa_n @MamataOfficial @RubikaLiyaquat  @sambitswaraj @gauravbh @indiatvnews @RajatSharmaLive… https://t.co/N0oDtBQAii
7pntperspective,2021-05-06 14:29:08,My nidjig order shipped today. I literally have like three orders in the mail from @NIDJIG1 rn I can't wait to put… https://t.co/unu5uz73rJ
kaif_sofia,2021-05-06 14:29:08,"@baybayfeverrr @nbcsnl @elonmusk fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… https://t.co/yRzlvAnfIH"
TarunSh52286991,2021-05-06 14:29:08,"1 M+  Student's have tweeted 
#cancel12thboardexmas2021 
But there is no statement from the govt or education minis… https://t.co/di9nF284hw"
Jack112244,2021-05-06 14:29:09,"RT @Priti01888931: Most cutest 😍 sweetest 🥰
dearest 💕 loveble 💘
@republic

4 YEARS OF REPUBLIC https://t.co/hXEWJOMxr7"
defversez,2021-05-06 14:29:10,"the canvases on the wall look like adoy album covers ㅋㅋㅋ 

@JAYBDEF___ #JAYB #제이비 https://t.co/6pXJzlwETY"
TMFMaximus,2021-05-06 14:29:10,@ChanseyDaRapper Really like that wall paneling dude.
itsASaha,2021-05-06 14:29:11,@derekobrienmp @TimesNow @CNNnews18 @republic @aajtak @ABPNews @ZeeNews @indiatvnews @IndiaToday Threatening Media… https://t.co/4MyCZnx51l
kaif_sofia,2021-05-06 14:29:11,"@baybayfeverrr @nbcsnl @elonmusk fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… https://t.co/MwS70ZL9xt"
AlexanderDeSma3,2021-05-06 14:29:11,"RT @tradermaymz: $PDPR
Small wall on the ask at .0001 for 31m
I’m down about 97.9% not to worried just need to bounce here #Joke"
AcesDomain,2021-05-06 14:29:12,why is this so relatable
ui_zero2,2021-05-06 14:29:13,"RT @_KryptWalk: Patterns - When you go into your next game, I dont want you to look at the enemies previous rank. LOOK AT THE AGENT you're…"
sabithasan,2021-05-06 14:29:13,"RT @derekobrienmp: To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…"
kaif_sofia,2021-05-06 14:29:15,"@baybayfeverrr @nbcsnl @elonmusk fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… https://t.co/I2xYd6Gbug"
JThesma,2021-05-06 14:29:15,"RT @ARanganathan72: Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…"
PhilShow987,2021-05-06 14:29:15,"Sometimes in job interviews, the interviewer will throw a random, off-the-wall question at you to see how well you… https://t.co/EvmIKix5jX"
jigsaw5714,2021-05-06 14:29:15,RT @SaketGokhale: These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…
Samantha4Blue,2021-05-06 14:29:16,"@exdemnewRep @RKAggarwal @KamalaHarris @bennydiego All GOP policies are against people, especially minorities. Good… https://t.co/85Jtd8yeoU"
LynnNoronha,2021-05-06 14:29:16,RT @SaketGokhale: These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…
VMichl,2021-05-06 14:29:18,"A fascinating world behind the TV wall - shooting the ""Autodesk LIVE 2022"" conference in Prague yesterday"
marysouth,2021-05-06 14:29:18,@CarlynZwaren That's a good question. One of my favorite contributions to this genre is THE WALL by Marlen Haushofe… https://t.co/77wVWIulqp
DorcasKennedy6,2021-05-06 14:29:19,RT @cochraf: @globalnews Why are you reporting this drivel? The PM has offered help to all of the premiers. We have heard him. Kenney to da…
MrJonCryer,2021-05-06 14:29:19,"RT @nataliesurely: Jenner has noticed two things: that a cynical run for office gets you tons of airtime, and that the Right loves propping…"
kaif_sofia,2021-05-06 14:29:19,"@baybayfeverrr @nbcsnl @elonmusk fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… https://t.co/6KmsE6NCYZ"
mightbe_peju,2021-05-06 14:29:20,RT @mvllibu: Kinda wanna cry. Kinda wanna stare at the wall. Kinda wanna scream.. kinda wanna be silent . Kinda wanna be alone. Kinda wanna…
Hindu_Vish,2021-05-06 14:29:20,"RT @ARanganathan72: Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…"
clh14210,2021-05-06 14:29:20,WEAK🤦🏻‍♂️😂😂😂
gratott,2021-05-06 14:29:21,"RT @damian_from: For some reason it really triggers Blairites and centrists when people state the fact that #CorbynHeldHartlepool twice.

I…"
kaif_sofia,2021-05-06 14:29:22,"@baybayfeverrr @nbcsnl @elonmusk fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… https://t.co/tLQdDVqacu"
AshleyMonrox,2021-05-06 14:29:22,"RT @__fvckme: my onlyfans is $4 for the next 40 people :*

subscribe to see the full photo set [45 pics] posted on my wall &lt;3
https://t.co/…"
RizviSalim,2021-05-06 14:29:23,RT @SaketGokhale: These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…
Thirdtimeluck15,2021-05-06 14:29:23,"RT @silverguru22: CFTC’s  Acting Chairman, Rostin Behnam, said on the record he was acknowledging and condoning attempts by Wall Street bul…"
therealpinoyrob,2021-05-06 14:29:23,"@AEW Kanyon flew so Jericho could land in whatever that was. For a company that is basically wcw, how could you not… https://t.co/8XaRr5BI3r"
kingz_dead_,2021-05-06 14:29:23,RT @sarahlugor: two scrawny people cuddling call that wall to wall
ahmileys,2021-05-06 14:29:23,RT @bayot_diay_ko: do u ever just wanna hit ur head on a wall or smth
RishikaShetty7,2021-05-06 14:29:23,"RT @PurplePelican19: Remember @Republic's Dabbawala initiative? They raised funds to help them during lockdown. 

Republic is Love.❤
4 YEAR…"
AlbertFlorin1,2021-05-06 14:29:24,@FabrizioRomano That man is a wall! A walking wall
TheStreet,2021-05-06 14:29:24,"RT @jimcramer: This SEC will not he a pushover. Will they like the fact that Wall Street Bets put together a ""syndicate"" that should be fou…"
trufflebuttered,2021-05-06 14:29:24,"RT @TheKTCassidy: Go to https://t.co/ibOgcdyaXx to watch the rest of the video and hundreds of FREE posts on my wall ! NO PAY PER VIEW!!!
#…"
74Talk,2021-05-06 14:29:24,RT @Lane_Kiffin: Here we go again. 🤦‍♂️ calling out the 🐐 ⁦In the middle of another championship?!?!? ⁦Good luck  ⁦@AlabamaFTBL⁩  Just went…
kaif_sofia,2021-05-06 14:29:25,"@baybayfeverrr @nbcsnl @elonmusk fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… https://t.co/tMnUjWBWKZ"
RohanPr81804469,2021-05-06 14:29:26,"RT @derekobrienmp: To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…"
MonicaD66590284,2021-05-06 14:29:26,"RT @Ripudaman27: #Promote2SR #JusticeForFinalYrPG

@aajtak  @ndtvindia @IndianExpress  @TOIIndiaNews  @ANI @ABPNews @ZeeNews @ETNOWlive  @A…"
mayread3,2021-05-06 14:29:27,"RT @cam_langford: NEW dev. in the National Butterfly Center's lawsuit against  @WeBuildtheWall in South Texas

 WBtW was ostensibly formed…"
